FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio,People_Tested,People_Hospitalized,UID,ISO3,Testing_Rate,Hospitalization_Rate
,,Guaviare,Colombia,2020-09-01 04:28:31,1.0654,-73.2603,273,1,220.0,52.0,"Guaviare, Colombia",329.84160353764184,0.3663003663003663,,,,,,
,,Huila,Colombia,2020-09-01 04:28:31,2.5359,-75.5277,5167,137,2980.0,2050.0,"Huila, Colombia",469.5624989776316,2.6514418424617765,,,,,,
,,La Guajira,Colombia,2020-09-01 04:28:31,11.3548,-72.5205,5139,231,3779.0,1129.0,"La Guajira, Colombia",583.6058871627148,4.495037945125512,,,,,,
,,Magdalena,Colombia,2020-09-01 04:28:31,10.4113,-74.4057,12460,682,9643.0,2135.0,"Magdalena, Colombia",928.6407412431264,5.473515248796148,,,,,,
,,Meta,Colombia,2020-09-01 04:28:31,3.272,-73.0877,8963,200,6057.0,2706.0,"Meta, Colombia",862.0573576398308,2.2313957380341405,,,,,,
,,Narino,Colombia,2020-09-01 04:28:31,1.2892,-77.3579,14086,513,11132.0,2441.0,"Narino, Colombia",863.8580343826047,3.6419139571205448,,,,,,
,,Norte de Santander,Colombia,2020-09-01 04:28:31,7.9463,-72.8988,11850,641,7689.0,3520.0,"Norte de Santander, Colombia",794.4015139885056,5.409282700421941,,,,,,
,,Putumayo,Colombia,2020-09-01 04:28:31,0.436,-75.5277,2895,133,2031.0,731.0,"Putumayo, Colombia",831.4617068085083,4.59412780656304,,,,,,
,,Quindio,Colombia,2020-09-01 04:28:31,4.461,-75.6674,1316,38,721.0,557.0,"Quindio, Colombia",243.7470365101944,2.8875379939209727,,,,,,
,,Risaralda,Colombia,2020-09-01 04:28:31,5.3158,-75.9928,6225,108,3815.0,2302.0,"Risaralda, Colombia",659.8466611758945,1.7349397590361446,,,,,,
,,San Andres y Providencia,Colombia,2020-09-01 04:28:31,12.5567,-81.7185,219,1,104.0,114.0,"San Andres y Providencia, Colombia",357.3759791122715,0.45662100456620996,,,,,,
,,Santander,Colombia,2020-09-01 04:28:31,6.6437,-73.6536,18211,774,10981.0,6456.0,"Santander, Colombia",833.5175576026953,4.250178463565978,,,,,,
,,Sucre,Colombia,2020-09-01 04:28:31,8.814,-74.7233,11709,491,9493.0,1725.0,"Sucre, Colombia",1294.0080432065406,4.193355538474679,,,,,,
,,Tolima,Colombia,2020-09-01 04:28:31,4.0925,-75.1545,7216,184,4824.0,2208.0,"Tolima, Colombia",542.4801174571695,2.5498891352549893,,,,,,
